"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"FFFF-to-TTTT"
"08/11/2026 21:58:27:307 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","sat-add","average-employee?","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","11","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","26944","total-customers-helped","22896","total-sales-closed","10214","total-employee-revenues","1659119","ATS-for-employee-sales","162.43577442725672","total-non-employee-revenues","47991","ATS-for-non-employee-sales","82.31732418524871","total-gross-revenues","1707110","total-labor-costs","164927.55000000008","cogs","847772","total-profits","859338.4499999998","gross-margin","50.3","EPIs:","","total-earnings","32985.51000000001","total-hours-scheduled","2205.8399999999997","total-hours-worked","2199.0339999999997","total-idle-time","23957.6","total-misc-task-time","48545","total-productivity","48223.2","total-rest-time","17053.6","total-revenues","331823.8","total-tardy-time","1046.4","total-sales-closed","2042.8"
"KPI-EPI-lists company 1","11","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","26914","total-customers-helped","16380","total-sales-closed","7445","total-employee-revenues","1076666","ATS-for-employee-sales","144.61598388179988","total-non-employee-revenues","121395","ATS-for-non-employee-sales","82.02364864864865","total-gross-revenues","1198061","total-labor-costs","122411.92499999992","cogs","601636","total-profits","596424.675","gross-margin","49.8","EPIs:","","total-earnings","24482.385000000006","total-hours-scheduled","1834.5200000000004","total-hours-worked","1813.5099999999998","total-idle-time","18092","total-misc-task-time","28238.6","total-productivity","51485.2","total-rest-time","14570.2","total-revenues","215333.2","total-tardy-time","3652","total-sales-closed","1489"
"KPI-EPI-lists company 0","12","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","26875","total-customers-helped","22657","total-sales-closed","10216","total-employee-revenues","1662877","ATS-for-employee-sales","162.77182850430697","total-non-employee-revenues","51147","ATS-for-non-employee-sales","83.16585365853659","total-gross-revenues","1714024","total-labor-costs","163562.85000000012","cogs","849172","total-profits","864851.550000001","gross-margin","50.5","EPIs:","","total-earnings","32712.570000000007","total-hours-scheduled","2188.6000000000004","total-hours-worked","2180.8380000000006","total-idle-time","23905.6","total-misc-task-time","47591","total-productivity","48254.4","total-rest-time","16875.2","total-revenues","332575.4","total-tardy-time","1138.8","total-sales-closed","2043.2"
"KPI-EPI-lists company 1","12","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","27185","total-customers-helped","16699","total-sales-closed","7521","total-employee-revenues","1103954","ATS-for-employee-sales","146.782874617737","total-non-employee-revenues","112720","ATS-for-non-employee-sales","81.9186046511628","total-gross-revenues","1216674","total-labor-costs","121386.19500000004","cogs","608056","total-profits","608618.204999999","gross-margin","50","EPIs:","","total-earnings","24277.23900000001","total-hours-scheduled","1816.7600000000002","total-hours-worked","1798.3140000000008","total-idle-time","17501.6","total-misc-task-time","27853.4","total-productivity","51510.4","total-rest-time","14345.8","total-revenues","220790.8","total-tardy-time","3542.6","total-sales-closed","1504.2"
"KPI-EPI-lists company 0","13","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","26711","total-customers-helped","22596","total-sales-closed","10129","total-employee-revenues","1647599","ATS-for-employee-sales","162.66156580116498","total-non-employee-revenues","48786","ATS-for-non-employee-sales","82.13131313131314","total-gross-revenues","1696385","total-labor-costs","163350.90000000002","cogs","841905","total-profits","854480.0999999996","gross-margin","50.4","EPIs:","","total-earnings","32670.180000000004","total-hours-scheduled","2185.7799999999997","total-hours-worked","2178.0119999999997","total-idle-time","24135.4","total-misc-task-time","47862.6","total-productivity","47687.4","total-rest-time","16887.8","total-revenues","329519.8","total-tardy-time","1071.2","total-sales-closed","2025.8"
"KPI-EPI-lists company 1","13","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","26815","total-customers-helped","16662","total-sales-closed","7506","total-employee-revenues","1108746","ATS-for-employee-sales","147.7146282973621","total-non-employee-revenues","119353","ATS-for-non-employee-sales","81.41405184174624","total-gross-revenues","1228099","total-labor-costs","120743.32499999998","cogs","611983","total-profits","616116.0749999995","gross-margin","50.2","EPIs:","","total-earnings","24148.665000000005","total-hours-scheduled","1805.98","total-hours-worked","1788.7900000000002","total-idle-time","17458.6","total-misc-task-time","28999.4","total-productivity","50102.2","total-rest-time","14218.8","total-revenues","221749.2","total-tardy-time","2916.2","total-sales-closed","1501.2"
"KPI-EPI-lists company 0","14","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","26814","total-customers-helped","22519","total-sales-closed","10133","total-employee-revenues","1636367","ATS-for-employee-sales","161.48889766110727","total-non-employee-revenues","50297","ATS-for-non-employee-sales","81.25525040387723","total-gross-revenues","1686664","total-labor-costs","163180.8","cogs","837846","total-profits","848817.5999999997","gross-margin","50.3","EPIs:","","total-earnings","32636.160000000003","total-hours-scheduled","2183.899999999999","total-hours-worked","2175.7439999999997","total-idle-time","24228","total-misc-task-time","47127","total-productivity","48195.8","total-rest-time","16868","total-revenues","327273.4","total-tardy-time","1193.8","total-sales-closed","2026.6"
"KPI-EPI-lists company 1","14","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","27089","total-customers-helped","16173","total-sales-closed","7164","total-employee-revenues","1039741","ATS-for-employee-sales","145.13414293690676","total-non-employee-revenues","127536","ATS-for-non-employee-sales","82.86939571150097","total-gross-revenues","1167277","total-labor-costs","120748.32","cogs","587659","total-profits","579617.8799999997","gross-margin","49.7","EPIs:","","total-earnings","24149.664","total-hours-scheduled","1809.8800000000003","total-hours-worked","1788.8640000000007","total-idle-time","17398.4","total-misc-task-time","27751.2","total-productivity","51087.2","total-rest-time","14386","total-revenues","207948.2","total-tardy-time","3410.6","total-sales-closed","1432.8"
"KPI-EPI-lists company 0","15","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","26875","total-customers-helped","22938","total-sales-closed","10461","total-employee-revenues","1700697","ATS-for-employee-sales","162.57499283051334","total-non-employee-revenues","44567","ATS-for-non-employee-sales","82.68460111317255","total-gross-revenues","1745264","total-labor-costs","165443.10000000006","cogs","863549","total-profits","881715.3000000005","gross-margin","50.5","EPIs:","","total-earnings","33088.62000000001","total-hours-scheduled","2213.8799999999997","total-hours-worked","2205.9080000000004","total-idle-time","24415.8","total-misc-task-time","49050","total-productivity","47748.6","total-rest-time","17218.4","total-revenues","340139.4","total-tardy-time","1013.8","total-sales-closed","2092.2"
"KPI-EPI-lists company 1","15","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","27159","total-customers-helped","16343","total-sales-closed","7437","total-employee-revenues","1077726","ATS-for-employee-sales","144.91407825736184","total-non-employee-revenues","126685","ATS-for-non-employee-sales","82.36996098829648","total-gross-revenues","1204411","total-labor-costs","120113.00999999994","cogs","601877","total-profits","602533.5899999997","gross-margin","50","EPIs:","","total-earnings","24022.602000000006","total-hours-scheduled","1798.4399999999998","total-hours-worked","1779.4519999999998","total-idle-time","17403.8","total-misc-task-time","26912.6","total-productivity","51462.6","total-rest-time","14393.8","total-revenues","215545.2","total-tardy-time","3802.8","total-sales-closed","1487.4"
"KPI-EPI-lists company 0","16","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","27064","total-customers-helped","22613","total-sales-closed","10195","total-employee-revenues","1642412","ATS-for-employee-sales","161.09975478175576","total-non-employee-revenues","47364","ATS-for-non-employee-sales","81.9446366782007","total-gross-revenues","1689776","total-labor-costs","163931.39999999997","cogs","839842","total-profits","849934.2000000001","gross-margin","50.3","EPIs:","","total-earnings","32786.28000000001","total-hours-scheduled","2193.86","total-hours-worked","2185.7520000000004","total-idle-time","23914","total-misc-task-time","46840.4","total-productivity","49221","total-rest-time","16878.4","total-revenues","328482.4","total-tardy-time","1096.2","total-sales-closed","2039"
"KPI-EPI-lists company 1","16","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","26761","total-customers-helped","16109","total-sales-closed","7213","total-employee-revenues","1048198","ATS-for-employee-sales","145.32067101067517","total-non-employee-revenues","123712","ATS-for-non-employee-sales","82.25531914893617","total-gross-revenues","1171910","total-labor-costs","121968.4499999999","cogs","590732","total-profits","581177.5500000002","gross-margin","49.6","EPIs:","","total-earnings","24393.69000000001","total-hours-scheduled","1828.6799999999996","total-hours-worked","1806.9399999999994","total-idle-time","18038.8","total-misc-task-time","28439.4","total-productivity","50979","total-rest-time","14444.8","total-revenues","209639.6","total-tardy-time","3840","total-sales-closed","1442.6"
"KPI-EPI-lists company 0","17","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","27002","total-customers-helped","22610","total-sales-closed","10143","total-employee-revenues","1637951","ATS-for-employee-sales","161.48585231193925","total-non-employee-revenues","51177","ATS-for-non-employee-sales","83.21463414634147","total-gross-revenues","1689128","total-labor-costs","162940.20000000007","cogs","838591","total-profits","850536.5999999997","gross-margin","50.4","EPIs:","","total-earnings","32588.04","total-hours-scheduled","2179.7599999999998","total-hours-worked","2172.535999999999","total-idle-time","23798.4","total-misc-task-time","46943.8","total-productivity","48512","total-rest-time","16804.2","total-revenues","327590.2","total-tardy-time","1125.8","total-sales-closed","2028.6"
"KPI-EPI-lists company 1","17","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","27194","total-customers-helped","16291","total-sales-closed","7393","total-employee-revenues","1076951","ATS-for-employee-sales","145.67171648857027","total-non-employee-revenues","125366","ATS-for-non-employee-sales","82.31516743269862","total-gross-revenues","1202317","total-labor-costs","119855.16000000006","cogs","600782","total-profits","601535.0399999999","gross-margin","50","EPIs:","","total-earnings","23971.032","total-hours-scheduled","1795.6599999999994","total-hours-worked","1775.6319999999996","total-idle-time","17468.8","total-misc-task-time","26841.6","total-productivity","51245.4","total-rest-time","14233.2","total-revenues","215390.2","total-tardy-time","3474.6","total-sales-closed","1478.6"
"KPI-EPI-lists company 0","18","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","27053","total-customers-helped","22547","total-sales-closed","10048","total-employee-revenues","1622100","ATS-for-employee-sales","161.43511146496814","total-non-employee-revenues","51158","ATS-for-non-employee-sales","82.64620355411955","total-gross-revenues","1673258","total-labor-costs","164093.85","cogs","833397","total-profits","839860.9500000008","gross-margin","50.2","EPIs:","","total-earnings","32818.770000000004","total-hours-scheduled","2195.9799999999996","total-hours-worked","2187.9179999999997","total-idle-time","23770.8","total-misc-task-time","47517.2","total-productivity","48737.8","total-rest-time","16905.4","total-revenues","324420","total-tardy-time","1159","total-sales-closed","2009.6"
"KPI-EPI-lists company 1","18","false","365","30","0.2","true","true","false","false","false","366","name","Fashion2","total-customer-visits","26899","total-customers-helped","16516","total-sales-closed","7499","total-employee-revenues","1093010","ATS-for-employee-sales","145.75410054673958","total-non-employee-revenues","115617","ATS-for-non-employee-sales","83.11790079079799","total-gross-revenues","1208627","total-labor-costs","122062.41","cogs","605513","total-profits","603113.7899999999","gross-margin","49.9","EPIs:","","total-earnings","24412.482000000007","total-hours-scheduled","1827.28","total-hours-worked","1808.3320000000008","total-idle-time","17927.8","total-misc-task-time","28904.2","total-productivity","50801","total-rest-time","14394.6","total-revenues","218602","total-tardy-time","3585.2","total-sales-closed","1499.8"
"KPI-EPI-lists company 0","19","false","365","30","0.2","true","true","false","false","false","366","name","Fashion1","total-customer-visits","27067","total-customers-helped","23181","total-sales-closed","10403","total-employee-revenues","1693527","ATS-for-employee-sales","162.79217533403826","total-non-employee-revenues","44961","ATS-for-non-employee-sales","83.57063197026022","total-gross-revenues","1738488","total-labor-costs","164898.60000000003","cogs","860294","total-profits","878194.2000000005","gross-margin","50.5","EPIs:","","total-earnings","32979.72000000001","total-hours-scheduled","2204.7599999999998","total-hours-worked","2198.648","total-idle-time","24194.8","total-misc-task-time","48493","total-productivity","47960","total-rest-time","17276","total-revenues","338705.4","total-tardy-time","954.4","total-sales-closed","2080.6"
