"BehaviorSpace results (NetLogo 7.0.4)","Lists version 2.0"
"JQIE.nlogox"
"Sat-add-sweep"
"08/09/2026 22:30:03:956 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","160"
"[reporter]","[run number]","use-r-seed?","sim-duration","display-ticks","average-employee?","sat-add","advance-notice?","minimum-hours?","schedule-swaps?","better-pay?","[step]","[0]","[1]","[2]","[3]","[4]","[5]","[6]","[7]","[8]","[9]","[10]","[11]","[12]","[13]","[14]","[15]","[16]","[17]","[18]","[19]","[20]","[21]","[22]","[23]","[24]","[25]","[26]","[27]","[28]","[29]","[30]","[31]","[32]","[33]","[34]","[35]","[36]","[37]","[38]","[39]","[40]","[41]","[42]","[43]","[44]","[45]","[46]","[47]"
"KPI-EPI-lists company 0","11","false","365","30","true","0.1","false","false","false","false","366","name","Fashion1","total-customer-visits","26961","total-customers-helped","22665","total-sales-closed","10186","total-employee-revenues","1655511","ATS-for-employee-sales","162.52807775377968","total-non-employee-revenues","53317","ATS-for-non-employee-sales","81.52446483180428","total-gross-revenues","1708828","total-labor-costs","163689.45","cogs","847221","total-profits","861607.3500000003","gross-margin","50.4","EPIs:","","total-earnings","32737.890000000003","total-hours-scheduled","2189.1600000000008","total-hours-worked","2182.5260000000007","total-idle-time","23833.6","total-misc-task-time","47963","total-productivity","48000.6","total-rest-time","16905.4","total-revenues","331102.2","total-tardy-time","1095.2","total-sales-closed","2037.2"
"KPI-EPI-lists company 1","11","false","365","30","true","0.1","false","false","false","false","366","name","Fashion2","total-customer-visits","27185","total-customers-helped","18057","total-sales-closed","8107","total-employee-revenues","1225584","ATS-for-employee-sales","151.1760207228321","total-non-employee-revenues","104514","ATS-for-non-employee-sales","82.94761904761904","total-gross-revenues","1330098","total-labor-costs","121361.895","cogs","653401","total-profits","676696.9049999999","gross-margin","50.9","EPIs:","","total-earnings","24272.379000000004","total-hours-scheduled","1812.9799999999996","total-hours-worked","1797.9539999999997","total-idle-time","17534.8","total-misc-task-time","29753.2","total-productivity","50163","total-rest-time","14056","total-revenues","245116.8","total-tardy-time","2561","total-sales-closed","1621.4"
"KPI-EPI-lists company 0","12","false","365","30","true","0.1","false","false","false","false","366","name","Fashion1","total-customer-visits","27241","total-customers-helped","22956","total-sales-closed","10363","total-employee-revenues","1682217","ATS-for-employee-sales","162.3291517900222","total-non-employee-revenues","48322","ATS-for-non-employee-sales","82.6017094017094","total-gross-revenues","1730539","total-labor-costs","164351.84999999998","cogs","856567","total-profits","873971.5499999998","gross-margin","50.5","EPIs:","","total-earnings","32870.37000000001","total-hours-scheduled","2198.7599999999998","total-hours-worked","2191.358","total-idle-time","24167","total-misc-task-time","48137.6","total-productivity","48016.6","total-rest-time","17064.6","total-revenues","336443.4","total-tardy-time","1094","total-sales-closed","2072.6"
"KPI-EPI-lists company 1","12","false","365","30","true","0.1","false","false","false","false","366","name","Fashion2","total-customer-visits","26907","total-customers-helped","17814","total-sales-closed","8109","total-employee-revenues","1216542","ATS-for-employee-sales","150.0236773954865","total-non-employee-revenues","107206","ATS-for-non-employee-sales","83.2991452991453","total-gross-revenues","1323748","total-labor-costs","122741.05499999996","cogs","652240","total-profits","671507.7449999998","gross-margin","50.7","EPIs:","","total-earnings","24548.211","total-hours-scheduled","1835.2999999999997","total-hours-worked","1818.3859999999997","total-idle-time","18046.8","total-misc-task-time","30234.4","total-productivity","50313.2","total-rest-time","14281.8","total-revenues","243308.4","total-tardy-time","2809.8","total-sales-closed","1621.8"
"KPI-EPI-lists company 0","13","false","365","30","true","0.1","false","false","false","false","366","name","Fashion1","total-customer-visits","27105","total-customers-helped","22891","total-sales-closed","10231","total-employee-revenues","1655473","ATS-for-employee-sales","161.80950053758187","total-non-employee-revenues","47387","ATS-for-non-employee-sales","83.28119507908612","total-gross-revenues","1702860","total-labor-costs","164779.64999999997","cogs","845924","total-profits","856936.3500000002","gross-margin","50.3","EPIs:","","total-earnings","32955.93000000001","total-hours-scheduled","2203.84","total-hours-worked","2197.062","total-idle-time","23885.8","total-misc-task-time","47836.2","total-productivity","48929.4","total-rest-time","16975.8","total-revenues","331094.6","total-tardy-time","1043","total-sales-closed","2046.2"
"KPI-EPI-lists company 1","13","false","365","30","true","0.1","false","false","false","false","366","name","Fashion2","total-customer-visits","27074","total-customers-helped","17487","total-sales-closed","7952","total-employee-revenues","1193397","ATS-for-employee-sales","150.0750754527163","total-non-employee-revenues","112144","ATS-for-non-employee-sales","82.3982365907421","total-gross-revenues","1305541","total-labor-costs","119978.41500000002","cogs","642195","total-profits","663346.1849999998","gross-margin","50.8","EPIs:","","total-earnings","23995.683000000008","total-hours-scheduled","1792.9600000000005","total-hours-worked","1777.4580000000005","total-idle-time","17147","total-misc-task-time","28506.8","total-productivity","50390","total-rest-time","14023","total-revenues","238679.4","total-tardy-time","2897.2","total-sales-closed","1590.4"
"KPI-EPI-lists company 0","14","false","365","30","true","0.1","false","false","false","false","366","name","Fashion1","total-customer-visits","26972","total-customers-helped","22954","total-sales-closed","10219","total-employee-revenues","1664554","ATS-for-employee-sales","162.88814952539389","total-non-employee-revenues","48180","ATS-for-non-employee-sales","81.93877551020408","total-gross-revenues","1712734","total-labor-costs","163378.95000000007","cogs","848473","total-profits","864261.4499999997","gross-margin","50.5","EPIs:","","total-earnings","32675.790000000008","total-hours-scheduled","2184.340000000001","total-hours-worked","2178.3860000000013","total-idle-time","24117.2","total-misc-task-time","47813.8","total-productivity","47635","total-rest-time","17041.6","total-revenues","332910.8","total-tardy-time","972.2","total-sales-closed","2043.8"
"KPI-EPI-lists company 1","14","false","365","30","true","0.1","false","false","false","false","366","name","Fashion2","total-customer-visits","26767","total-customers-helped","17640","total-sales-closed","7805","total-employee-revenues","1178835","ATS-for-employee-sales","151.03587443946188","total-non-employee-revenues","103673","ATS-for-non-employee-sales","81.8255722178374","total-gross-revenues","1282508","total-labor-costs","122790.05999999995","cogs","635793","total-profits","646714.7399999996","gross-margin","50.4","EPIs:","","total-earnings","24558.011999999995","total-hours-scheduled","1834.1","total-hours-worked","1819.1120000000003","total-idle-time","17853.4","total-misc-task-time","30899.4","total-productivity","49839","total-rest-time","14239","total-revenues","235767","total-tardy-time","2934.6","total-sales-closed","1561"
"KPI-EPI-lists company 0","15","false","365","30","true","0.1","false","false","false","false","366","name","Fashion1","total-customer-visits","26628","total-customers-helped","22008","total-sales-closed","9814","total-employee-revenues","1579765","ATS-for-employee-sales","160.97055227226411","total-non-employee-revenues","52393","ATS-for-non-employee-sales","83.03169572107765","total-gross-revenues","1632158","total-labor-costs","162871.05","cogs","815734","total-profits","816423.75","gross-margin","50","EPIs:","","total-earnings","32574.210000000003","total-hours-scheduled","2180.959999999999","total-hours-worked","2171.614","total-idle-time","23620.8","total-misc-task-time","47220.2","total-productivity","48290","total-rest-time","16713.2","total-revenues","315953","total-tardy-time","1296.6","total-sales-closed","1962.8"
"KPI-EPI-lists company 1","15","false","365","30","true","0.1","false","false","false","false","366","name","Fashion2","total-customer-visits","27157","total-customers-helped","18198","total-sales-closed","8152","total-employee-revenues","1232627","ATS-for-employee-sales","151.20547105004906","total-non-employee-revenues","104273","ATS-for-non-employee-sales","82.95385839299921","total-gross-revenues","1336900","total-labor-costs","122123.4300000001","cogs","656883","total-profits","680016.5700000008","gross-margin","50.9","EPIs:","","total-earnings","24424.686000000005","total-hours-scheduled","1824.1599999999999","total-hours-worked","1809.2359999999994","total-idle-time","17539.6","total-misc-task-time","30220.8","total-productivity","50249.6","total-rest-time","14122.6","total-revenues","246525.4","total-tardy-time","2463.4","total-sales-closed","1630.4"
